STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,CHARGE_SPEED,PRICE_RAW
Baybrook Mall,Volta,500 Baybrook Mall,Friendswood,TX,77546.0,"? A, ? kW",Cost: Free
Brookshire Bros #12,EVConnect,455 George Bush Drive West,College Station,TX,77840.0,"125 A, 50 kW",Cost: 0.35$ / kWh Time not charging: $5/hr after 15 mins
San Marcos Premium Outlets,EVgo,3939 South Interstate 35,San Marcos,TX,78666.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Campingworld Spring,ChargePoint,19302 I-45,Spring,TX,77373.0,"62 A, 62 kW",Cost: Time 0.3 USD per minute Parking 0 USD per minute for first 75 mins Parking 0.1 USD per minute after 75 mins
Gibbons Creek Store,ChargePoint,5015 Hwy30,Anderson,TX,77830.0,"62 A, 62 kW",Cost: Free
Midsouth Charge Midsouth Office,ChargePoint,9409 North Highway 6 Loop,Navasota,TX,77868.0,"62 A, 62 kW",Cost: Free
1403 Williams Drive,ChargePoint,1403 Williams Drive,Georgetown,TX,78628.0,"62 A, 62 kW",Cost: 21.00$ / Hour Time not charging: $21/hr
BMW,ChargePoint,5501 South IH 35 Frontage Road,Austin,TX,78744.0,"50 A, 24 kW",Cost: Free
Land Rover Houston Central,ChargePoint,7025 Old Katy Road,Houston,TX,77024.0,"50 A, 24 kW",Cost: Free
James Avery Plaza,ChargePoint,6300 183A Frontage Road,Cedar Park,TX,78613.0,"62 A, 62 kW",Cost: Energy 0.17 USD per kWh Parking 0 USD per minute
Mercedes-Benz of The Woodlands,ChargePoint,16917 I-45 South,The Woodlands,TX,77385.0,"62 A, 62 kW",Cost: 18.00$ / Hour $18/hr: after 30 mins; Time not charging: $10/hr after 30 mins
Land Rover Clear Lake DC Wallbox,ChargePoint,17970 Gulf Freeway,Friendswood,TX,77546.0,"26 A, 23.9 kW",Cost: Free
Mancuso Harley-Davidson Central,ChargePoint,535 North Loop West Freeway,Houston,TX,77018.0,"50 A, 24 kW",Cost: Free
Walmart - Sweetwater,Electrify America,407 Northeast Georgia Avenue,Sweetwater,TX,79556.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Days Inn - Van Horn,Electrify America,600 East Broadway,Van Horn,TX,79855.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Walmart - Fort Stockton,Electrify America,2610 West Dickinson Boulevard,Fort Stockton,TX,79735.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Walmart - Midland,Electrify America,200 West I-20,Midland,TX,79701.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Hampton Inn - Ozona,Electrify America,816 14TH Street,Ozona,TX,76943.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Sonic - Pecos,Electrify America,5101 South Cedar Street,Pecos,TX,79772.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Sam's Club - Amarillo,Electrify America,8952 Westgate Parkway,Amarillo,TX,79124.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
